code,month,december,Yreli,Yprev,Eprev,Ereli,board,easting,northing,dispensing,perc_white,price_med,pm10,pm25,urban
16051,Oct-15,0,156,42,46.80378046,197.4146284,BORDERS,357.741,631.702,N,99.1428571,132500,14.46241445,8.475556656,rural
16066,Oct-15,0,233,68,43.4552604,183.2908367,BORDERS,386.941,656.46,N,99.7088792,166500,17.32196456,10.96930816,rural
16085,Oct-15,0,269,60,50.94559932,214.8844913,BORDERS,347.143,628.84,N,99.3103448,105500,12.76367978,7.207840429,smalltown
16121,Oct-15,0,106,24,30.82254765,130.0070578,BORDERS,332.893,636.339,N,99.7169811,191250,12.35942847,6.982956475,smalltown
16136,Oct-15,0,430,202,84.51480626,356.4767398,BORDERS,372.976,634.533,N,98.4679666,131500,14.16809099,8.29410375,smalltown
16141,Oct-15,0,208,34,45.45453205,191.7236058,BORDERS,350.422,614.653,N,99.4212963,62500,12.78317564,7.314702226,urban
16160,Oct-15,0,119,33,39.55319636,166.8322406,BORDERS,324.702,640.483,N,99.0675991,119500,12.05121373,6.720419301,smalltown
16174,Oct-15,0,48,23,23.27610768,98.17677339,BORDERS,315.166,651.933,N,99.1389914,124995,13.5251075,7.832662724,rural
16193,Oct-15,0,108,21,19.46233018,82.0905628,BORDERS,349.516,636.099,N,98.8826816,81748,12.87708114,7.259720664,urban
16206,Oct-15,0,79,30,27.9213563,117.7700631,BORDERS,383.463,639.37,N,98.951049,150000,14.14065423,8.052558206,rural
16211,Oct-15,0,96,33,37.42924965,157.873602,BORDERS,324.702,640.483,N,99.0675991,119500,12.05121373,6.720419301,smalltown
16230,Oct-15,0,155,31,30.71713124,129.5624197,BORDERS,349.516,636.099,N,98.8826816,81748,12.87708114,7.259720664,urban
16244,Oct-15,0,79,29,12.49435285,52.7001879,BORDERS,349.516,636.099,N,98.8826816,81748,12.87708114,7.259720664,urban
16259,Oct-15,0,154,38,31.85199738,134.349195,BORDERS,349.516,636.099,N,98.8826816,81748,12.87708114,7.259720664,urban
16475,Oct-15,0,47,18,9.296924353,39.21368847,BORDERS,371.065,646.165,N,98.3154671,180000,15.65129344,9.521923577,rural
16507,Oct-15,0,280,43,43.71268524,184.3766343,BORDERS,394.373,664.204,Y,98.3628922,91000,14.37240205,8.350628115,smalltown
16545,Oct-15,0,358,76,73.26597387,309.0300583,BORDERS,350.254,614.64,N,99.4212963,62500,12.78317564,7.314702226,urban
16550,Oct-15,0,122,31,28.03092129,118.2321995,BORDERS,345.692,644.578,Y,98.5530547,154975,12.4875064,7.095592597,rural
16564,Oct-15,0,78,28,21.41415197,90.32319208,BORDERS,357.303,638.354,N,99.001996,180750,14.79182951,9.082722577,rural
16583,Oct-15,0,99,34,20.86334496,87.99993188,BORDERS,378.681,653.305,N,97.6377953,149995,14.74686607,8.554968597,rural
18057,Oct-15,0,158,45,19.76123167,83.35130555,DUMFRIES AND GALLOWAY,206.334,560.298,N,99.6714129,80000,13.55221678,7.756542116,urban
18095,Oct-15,0,255,61,35.48915189,149.6904238,DUMFRIES AND GALLOWAY,206.334,560.298,N,99.6714129,80000,13.55221678,7.756542116,urban
18112,Oct-15,0,26,15,5.120682324,21.59863131,DUMFRIES AND GALLOWAY,213.537,536.471,Y,99.4117647,120000,12.90720495,7.139270564,rural
18151,Oct-15,0,175,52,27.2742198,115.0404927,DUMFRIES AND GALLOWAY,241.28,565.593,Y,98.3739837,77250,12.89065402,7.459064189,smalltown
18184,Oct-15,0,272,51,47.63247376,200.9099909,DUMFRIES AND GALLOWAY,276.982,563.407,N,98.376184,135000,13.15839209,7.282506797,smalltown
18199,Oct-15,0,158,59,47.93873737,202.2017865,DUMFRIES AND GALLOWAY,268.416,550.808,N,99.4550409,125000,12.28512585,6.822838523,smalltown
18216,Oct-15,0,102,29,26.60820593,112.2312991,DUMFRIES AND GALLOWAY,276.982,563.407,N,98.376184,135000,13.15839209,7.282506797,smalltown
18235,Oct-15,0,39,8,13.10408411,55.27198594,DUMFRIES AND GALLOWAY,263.394,577.486,Y,99.7833153,164000,12.58892538,7.254179021,rural
18240,Oct-15,0,175,45,34.66792058,146.2265353,DUMFRIES AND GALLOWAY,282.991,560.814,N,99.3883792,140000,14.16168626,6.864360475,smalltown
18254,Oct-15,0,69,14,19.64036477,82.84149858,DUMFRIES AND GALLOWAY,296.489,566.147,Y,98.8636364,164000,12.14791131,6.726940828,rural
18273,Oct-15,0,322,63,50.14834258,211.5217258,DUMFRIES AND GALLOWAY,297.398,575.701,N,93.4834123,105000,13.23035195,7.605277005,urban
18288,Oct-15,0,109,23,22.41663597,94.55158997,DUMFRIES AND GALLOWAY,298.864,579.183,N,99.5426829,123950,13.29633015,7.458206389,smalltown
